name,url,category,notes
Maris Stella High School,https://www.marisstellahigh.moe.edu.sg/,primary,SAP; Autonomous; GOVERNMENT-AIDED SCH; through-train P1-S4
Marsiling Primary School,https://www.marsilingpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Marymount Convent School,https://www.marymountconvent.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Mayflower Primary School,https://www.mayflowerpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Mee Toh School,https://www.meetoh.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Meridian Primary School,https://www.meridianpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Methodist Girls' School (Primary),https://www.mgs.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Montfort Junior School,https://www.montfortjunior.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Nan Chiau Primary School,https://www.ncps.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Nan Hua Primary School,https://www.nanhuapri.moe.edu.sg/,primary,SAP; GEP; GOVERNMENT-AIDED SCH
Nanyang Primary School,https://www.nyps.moe.edu.sg/,primary,SAP; GEP; GOVERNMENT-AIDED SCH
Naval Base Primary School,https://www.navalbasepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
New Town Primary School,https://www.newtownpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Ngee Ann Primary School,https://www.ngeeannpri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
North Spring Primary School,https://www.northspringpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
North View Primary School,https://www.northviewpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
North Vista Primary School,https://www.northvistapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Northland Primary School,https://www.northlandpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Northoaks Primary School,https://www.northoakspri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Northshore Primary School,https://northshorepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Oasis Primary School,https://www.oasispri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Opera Estate Primary School,https://www.operaestatepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Palm View Primary School,https://www.palmviewpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Park View Primary School,https://www.parkviewpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Pasir Ris Primary School,https://www.pasirrispri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Paya Lebar Methodist Girls' School (Primary),https://www.payalebarmethodistgirlspri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Pei Chun Public School,https://www.peichunpublic.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
Pei Hwa Presbyterian Primary School,https://www.peihwapresbyterianpri.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
Pei Tong Primary School,https://www.peitongpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Peiying Primary School,https://www.peiyingpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Pioneer Primary School,https://www.pioneerpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Poi Ching School,https://www.poiching.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
Princess Elizabeth Primary School,https://www.princesselizabethpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Punggol Cove Primary School,https://punggolcovepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Punggol Green Primary School,https://www.punggolgreenpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Punggol Primary School,https://www.punggolpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Punggol View Primary School,https://www.punggolviewpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Qifa Primary School,https://www.qifapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Qihua Primary School,https://www.qihuapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Queenstown Primary School,https://www.queenstownpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Radin Mas Primary School,https://www.radinmaspri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Raffles Girls' Primary School,https://www.rafflesgirlspri.moe.edu.sg/,primary,GEP; GOVERNMENT SCHOOL
Red Swastika School,https://www.redswastika.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
River Valley Primary School,https://www.rivervalleypri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Riverside Primary School,https://www.riversidepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Rivervale Primary School,https://www.rivervalepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Rosyth School,https://www.rosyth.moe.edu.sg/,primary,GEP; GOVERNMENT SCHOOL
Rulang Primary School,https://www.rulangpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Sembawang Primary School,https://www.sembawangpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Seng Kang Primary School,https://www.sengkangpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Sengkang Green Primary School,https://sengkanggreenpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Shuqun Primary School,https://www.shuqunpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Si Ling Primary School,https://www.silingpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Singapore Chinese Girls' Primary School,https://www.scgs.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Singapore Chinese Girls' School Junior Section,https://scgs.moe.edu.sg/,primary,Through-train
South View Primary School,https://www.southviewpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Springdale Primary School,https://springdalepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
St Andrew's School (Junior),https://www.saintandrewsjunior.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
St. Anthony's Canossian Primary School,https://www.stanthonyscanossianpri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
St. Anthony's Primary School,https://www.stanthonyspri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
St. Gabriel's Primary School,https://www.stgabrielspri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
